,NDB1,NDB2,NDB3,NDB4,DCB1,DCB2,DCB3,DCB4,DCB5
CT45A1,0,0,9,0,0,0,0,0,0
PTPMT1,298,294,207,190,322,234,260,388,135
CT45A2,0,0,0,0,0,0,0,0,0
CT45A5,0,12,1,0,0,0,0,0,0
CT45A4,0,19,1,0,0,0,0,0,0
CT45A6,0,34,0,0,0,0,0,0,0
FTCDNL1,0,14,0,0,37,0,11,32,149
VMO1,0,45,0,0,130,11,86,0,0
OGFR-AS1,0,0,0,0,0,0,0,0,0
ATP5C1,5718,7832,4553,3155,8721,3529,7219,12510,5901
MIR639,3,1,1,1,1,1,1,2,1
MIR638,1,0,0,0,0,2,1,0,0
MIR635,31,30,36,112,64,51,38,20,33
MIR634,0,0,2,18,0,0,2,26,5
MIR637,25,10,9,29,79,61,8,42,73
MIR636,3,4,3,3,7,8,3,6,1
MIR631,7,3,9,43,1,2,6,12,6
MIR630,6,24,20,17,15,8,3,16,3
MIR632,1,1,1,1,1,1,1,2,1
LINC00320,0,0,0,0,0,0,0,0,0
NPC2,3287,4899,6153,4040,6297,3804,5200,8694,3321
LINC00322,0,0,0,0,0,0,0,0,0
GATA3-AS1,0,0,0,0,0,0,0,0,0
LINC00324,0,0,0,0,0,0,0,0,0
LINC00326,0,0,0,0,0,0,0,0,0
LINC00327,0,0,0,0,0,0,0,0,0
C3orf58,521,789,764,683,1679,3382,1099,1060,2352
RAB3GAP2,7206,11340,6935,6285,13130,8397,13802,12256,12463
BHLHA15,3,104,27,60,26,6,14,28,6
RAB3GAP1,8580,10248,7665,8236,10644,9124,10948,15186,4595
C3orf52,269,449,659,271,1922,1406,565,994,661
C3orf55,0,0,0,0,0,0,29,0,0
C3orf56,0,0,0,0,0,0,0,0,0
DAG1,3321,7095,7657,13123,3063,8165,8169,18742,7373
ETHE1,2530,1896,2133,3280,2114,1291,5118,2016,2656
LOC100996579,0,0,0,0,0,0,0,0,0
SGSM3,1162,1338,1111,3206,1658,2040,2714,3056,2272
KDM1A,6773,7304,5246,4442,7798,6810,6218,10890,6005
KDM1B,908,1416,1035,1353,2738,1488,1594,2262,1336
SLC36A2,0,6,0,0,0,0,0,0,0
OR1S1,0,11,0,0,0,0,0,0,0
OR1S2,0,17,6,0,0,0,0,0,0
MIR2355,0,0,0,0,0,0,0,0,0
HIST1H3H,5110,1039,1101,694,4081,2630,2418,4078,2101
FCER1G,325,528,798,528,1434,280,155,1240,320
BTG4,0,6,0,0,0,0,0,0,0
BTG3,326,1293,489,454,3041,1063,737,1496,1134
BTG2,197,706,334,554,1291,659,1050,450,315
SOSTDC1,0,0,0,0,0,0,0,0,0
